target,feature,in_hybrid_top30,in_moes_top30,in_both
tipo_violencia,actos_contra_el_pudor,1,1,1
tipo_violencia,ahorcamiento,1,1,1
tipo_violencia,bofetadas,1,1,1
tipo_violencia,desvalorizacion_humillacion,1,0,0
tipo_violencia,edad_victima,1,1,1
tipo_violencia,empujones,1,1,1
tipo_violencia,estado_victima_g,1,0,0
tipo_violencia,estudia,1,0,0
tipo_violencia,frecuencia_agrede,1,0,0
tipo_violencia,golpes_con_objetos_contundentes,1,1,1
tipo_violencia,golpes_con_palos,1,1,1
tipo_violencia,gritos_insultos,1,1,1
tipo_violencia,informante,1,1,1
tipo_violencia,jalones_cabello,1,1,1
tipo_violencia,latigazo,1,0,0
tipo_violencia,lugar_estudia,1,0,0
tipo_violencia,negligencia,1,1,1
tipo_violencia,otra_vfis,1,1,1
tipo_violencia,otra_vpsi,1,1,1
tipo_violencia,otra_vsex,1,0,0
tipo_violencia,otras_agresiones,1,1,1
tipo_violencia,primera_vez_agrede,1,0,0
tipo_violencia,punetazos,1,1,1
tipo_violencia,puntapies_patadas,1,1,1
tipo_violencia,sexo_agresor,1,1,1
tipo_violencia,sin_vinculo,1,0,0
tipo_violencia,victima_gestando,0,1,0
tipo_violencia,vinculo_agresor_victima,1,1,1
tipo_violencia,vinculo_familiar,1,1,1
tipo_violencia,vinculo_pareja,1,1,1
tipo_violencia,violacion,1,1,1
nivel_riesgo_victima,ahorcamiento,1,0,0
nivel_riesgo_victima,amenaza_de_muerte,1,1,1
nivel_riesgo_victima,anio_mes,1,0,0
nivel_riesgo_victima,cem,1,1,1
nivel_riesgo_victima,cuenta_medidas_proteccion,0,1,0
nivel_riesgo_victima,desea_denunciar,1,0,0
nivel_riesgo_victima,desea_patrocinio_legal,1,0,0
nivel_riesgo_victima,desvalorizacion_humillacion,1,0,0
nivel_riesgo_victima,dist_domicilio,1,0,0
nivel_riesgo_victima,dpto_domicilio,1,0,0
nivel_riesgo_victima,edad_agresor,0,1,0
nivel_riesgo_victima,edad_victima,1,0,0
nivel_riesgo_victima,empujones,1,0,0
nivel_riesgo_victima,estado_agresor_g,1,0,0
nivel_riesgo_victima,factor_agresor_consume_droga,1,1,1
nivel_riesgo_victima,factor_agresor_consumo_alcohol,1,0,0
nivel_riesgo_victima,frecuencia_agrede,1,0,0
nivel_riesgo_victima,gritos_insultos,1,1,1
nivel_riesgo_victima,informante,0,1,0
nivel_riesgo_victima,jalones_cabello,1,0,0
nivel_riesgo_victima,negligencia,1,0,0
nivel_riesgo_victima,otra_vpsi,1,1,1
nivel_riesgo_victima,primera_vez_agrede,1,1,1
nivel_riesgo_victima,prov_domicilio,1,1,1
nivel_riesgo_victima,punetazos,1,0,0
nivel_riesgo_victima,sin_vinculo,1,0,0
nivel_riesgo_victima,situacion_agresor,1,1,1
nivel_riesgo_victima,ubigeo_codigo,1,1,1
nivel_riesgo_victima,ubigeo_nombre,1,1,1
nivel_riesgo_victima,vigilancia_continua_persecucion,1,0,0
nivel_riesgo_victima,vinculo_afectivo_ninguno,1,0,0
nivel_riesgo_victima,vinculo_agresor_victima,0,1,0
nivel_riesgo_victima,vinculo_familiar,1,1,1
nivel_riesgo_victima,violacion,1,1,1
