feature,rf_importance
tipo_violencia_orig,0.38932061978811866
gritos_insultos,0.07357052852295698
violacion,0.04807838330077679
empujones,0.04734076811354515
punetazos,0.044519263434753084
sin_vinculo,0.035290695282354484
vinculo_agresor_victima,0.03135063552905765
otra_vpsi,0.03125708429064694
bofetadas,0.021353778808686833
otra_vfis,0.02088287968846293
negligencia,0.018520606336136915
vinculo_familiar,0.018316263224528208
jalones_cabello,0.017395857156572464
puntapies_patadas,0.01598480746736411
vinculo_pareja,0.015561932013930146
desvalorizacion_humillacion,0.01519424977630809
estado_victima_g,0.01169919761170154
edad_victima,0.011252521640574572
informante,0.01023277404863488
estado_agresor_g,0.010184294944211887
frecuencia_agrede,0.009625348459625404
sexo_agresor,0.009514153484596315
estudia,0.007895140260521027
latigazo,0.005947465105950028
tipo_gestion_estudia,0.0056598817535464495
nivel_riesgo_victima_orig,0.0053453477118378155
primera_vez_agrede,0.005060758267617554
lugar_estudia,0.004996474885518248
otras_agresiones,0.004898848338886085
otra_vsex,0.004741367557176362
ahorcamiento,0.004281769528517804
actos_contra_el_pudor,0.004059519928730359
sexo_victima,0.0031142582106236925
victima_gestando,0.0029356474862066747
golpes_con_palos,0.002541665178417732
agresor_vive_casa_victima,0.0023062436553736294
golpes_con_objetos_contundentes,0.0020656345018192
edad_agresor,0.001663437464357047
hijos_vivos_0_17,0.0013276845037451602
nivel_educativo_victima,0.0012564436455551123
indiferencia,0.0011345257819351578
otras_amenazas,0.0010915739683303874
estado_civil_victima,0.0009960267713348642
estado_agresor_u_a,0.0009798650599743388
ocupacion_victima,0.0009553948804068679
rechazo,0.0008929282682715202
ocupacion_agresor,0.0008647936375108589
hijas_vivas_0_17,0.0008494845795525457
etnia_victima,0.0007684672631349085
nivel_educativo_agresor,0.0007425586816041589
ubigeo_codigo,0.0007349920675475449
ubigeo_nombre,0.0006669441734549564
cem,0.0006121078184957501
desea_denunciar,0.0005433110908683546
anio_mes,0.0005364992739442548
dist_domicilio,0.0005133727032162523
situacion_agresor,0.0005128856766191785
dpto_domicilio,0.00045244460119951306
acude_sola,0.0004296736151589904
interpuso_denuncia,0.0004221213037019919
cuenta_medidas_proteccion,0.00039694747202135335
atencion_medica,0.00038279721725258266
hijas_vivas_18_mas,0.00038186702630389746
abandono,0.00037402532078829463
condicion,0.0003723676679718913
cuenta_medidas_cautelares,0.0003707206607608406
mes,0.00036644149829443724
hijos_vivos_18_mas,0.0003575801481164978
trabaja_victima,0.00033835536021249604
prov_domicilio,0.0002934839888494529
amenaza_de_muerte,0.00026916078613467174
trabaja_agresor,0.0002665852352502274
botar_casa,0.00026193289501375813
agresor_area_residencia_domicilio,0.0002569560799486971
estado_victima_u_a,0.0002488697753589484
anio,0.00022563897007393889
lengua_materna_victima,0.00022142971437574222
vinculo_afectivo_familia,0.00020161119310885048
vigilancia_continua_persecucion,0.00018832537136822714
hijos_vivos,0.000179978888483485
centro_poblado_domicilio,0.00016131503963404725
n_anos,0.00014804259720044679
redes_fam_soc,0.00014257318132363892
area_residencia_domicilio,0.00014021210506844347
sis_seguro,0.00013928759959262255
factor_agresor_consumo_alcohol,0.00013185479705980608
vinculo_afectivo_ninguno,0.00012190208776480673
discr_genero,0.00011079772859344146
n_semanas,0.00010245793494981104
hijas_vivas,0.00010173259572132002
n_meses,9.984792124829519e-05
amenaza_quitar_hijos,9.818887127926307e-05
discapacidad_victima,9.112561413679244e-05
modalidades_vcm,8.410366113765007e-05
hijos_vivas_0_17,8.361538298162629e-05
antecedente_desaparicion,7.989026325130224e-05
essalud_seguro,7.881172148120898e-05
ningun_tratamiento,6.150545565528365e-05
desea_patrocinio_legal,5.3157542078486665e-05
apoyo_emocional,5.2876444905384154e-05
apoyo_instrumental,4.759765037419276e-05
discapacidad_agresor,4.631718537821073e-05
tratamiento_psicologico,4.3983597628550755e-05
apoyo_cognitivo,4.2843353621376846e-05
apoyo_material,4.136900721175353e-05
donde_interpuso_denuncia,3.983342135263437e-05
ningun_seguro,3.981310046776462e-05
hijos_vivas_18_mas,3.660346855159347e-05
agresor_extranjero,3.464605103476217e-05
rompe_destruye_cosas,3.387873194372958e-05
agresor_peruano,3.0687122032757576e-05
factor_agresor_consume_droga,2.7729022665749823e-05
caso_tentativa_de_feminicidio,2.7311253756139135e-05
vinculo_afectivo_amigos,2.3757338813030803e-05
continua_recibiendo_tratamiento,2.317489969091915e-05
agresor_cuenta_dni,2.2612837511649638e-05
vinculo_afectivo_vecinos,1.6262363455491596e-05
prohibe_estudiar_trabajar_salir,1.624848555323147e-05
vinculo_afectivo_otro,1.492161354577435e-05
prohibe_recibir_visitas,1.4639289507565255e-05
victima_extranjera,1.4324138048286668e-05
victima_pais_extranjero,1.4084697647722589e-05
factor_victima_discapacidad,1.2946638797364993e-05
agresor_pais_extranjero,1.07203977541179e-05
victima_carne_extranjeria,9.986097290222691e-06
agresor_carne_extranjeria,8.63648014870977e-06
victima_cuenta_dni,7.974834048445819e-06
otro_seguro,7.676567477168472e-06
victima_peruana,6.8444157328589845e-06
